,Healthcare,,,Government,,,Retail,,,Finance,,,Education,,,Entertainment,,,Technology,,,Others
,MALWARE,PHISHING,DDOS,MALWARE,PHISHING,DDOS,MALWARE,PHISHING,DDOS,MALWARE,PHISHING,DDOS,MALWARE,PHISHING,DDOS,MALWARE,PHISHING,DDOS,MALWARE,PHISHING,DDOS,TUDO
Updated Inventory,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Backup Maintenance,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Risk Priorization,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Authentication Factors,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Cloud Solution Type,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
IT System Monitoring,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Periodic System Updates,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO
Data Encryption in Storage,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Data Encryption in Transit,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
VPN for Remote Access,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Cybersecurity Awareness and Training,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO
Documented Response Plan,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Response Plan Update,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Operational Recovery Capacity,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Credentials Maintenance,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,ALTO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO
Vulnerability Identification,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO
Network Systems Traffic Monitoring,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO
Threat Identification Process,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO
IT Records Presence,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Antivirus,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO
Firewall,ALTO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,ALTO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,ALTO,MÉDIO,ALTO,ALTO,MÉDIO,ALTO,MÉDIO,MÉDIO,ALTO,MÉDIO
Intrusion Detection System,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Endpoint Detection and Response (EDR),MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,ALTO,MÉDIO,MÉDIO,MÉDIO
IT security team,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO
Attack History,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO,MÉDIO